reference_id,candidate_id,reference_statement,candidate_statement,overlap
2077,11203,airplane and helicopter can be discriminated with crashes,"airplane have (a) wings, which makes it different from helicopter",No
470,5807,wheel and bike can be discriminated with rubber,"wheel can hold more than one person, which makes it different from bike",No
470,9158,wheel and bike can be discriminated with rubber,"wheel is part of (a) bicycle, which makes it different from bike",No
1534,5807,wheel and bike can be discriminated with rims,"wheel can hold more than one person, which makes it different from bike",No
1534,9158,wheel and bike can be discriminated with rims,"wheel is part of (a) bicycle, which makes it different from bike",No
189,2045,rabbit and cat can be discriminated with carrots,"rabbit is a teeth, which makes it different from cat",No
189,256,rabbit and cat can be discriminated with carrots,"rabbit can be found at the supermarket deli, which makes it different from cat",No
189,972,rabbit and cat can be discriminated with carrots,"rabbit is a farm animal, which makes it different from cat",No
189,10021,rabbit and cat can be discriminated with carrots,"rabbit is part of (a) jumping, which makes it different from cat",No
191,12796,spatula and paintbrush can be discriminated with rubber,"spatula can to paint, which makes it different from paintbrush",No
546,6265,stereo and mixer can be discriminated with electronic,"stereo is a digital device, which makes it different from mixer",Yes
546,13863,stereo and mixer can be discriminated with electronic,"stereo can directly make sound(using speakers), which makes it different from mixer",No
193,10677,crab and salmon can be discriminated with claws,"crab have (a) shell, which makes it different from salmon",No
193,7856,crab and salmon can be discriminated with claws,"crab have (a) legs/tentacles, which makes it different from salmon",No
193,8915,crab and salmon can be discriminated with claws,"crab have (a) legs, which makes it different from salmon",No
3030,10677,crab and salmon can be discriminated with sideways,"crab have (a) shell, which makes it different from salmon",No
3030,7856,crab and salmon can be discriminated with sideways,"crab have (a) legs/tentacles, which makes it different from salmon",No
3030,8915,crab and salmon can be discriminated with sideways,"crab have (a) legs, which makes it different from salmon",No
2096,793,prune and raspberry can be discriminated with purple,"prune have (a) stone inside, which makes it different from raspberry",No
2096,13623,prune and raspberry can be discriminated with purple,"prune have (a) single hard pit, which makes it different from raspberry",No
3902,793,prune and raspberry can be discriminated with dried,"prune have (a) stone inside, which makes it different from raspberry",No
3902,13623,prune and raspberry can be discriminated with dried,"prune have (a) single hard pit, which makes it different from raspberry",No
201,3510,banner and umbrella can be discriminated with message,"banner is a logo, which makes it different from umbrella",Not Sure
392,3510,banner and umbrella can be discriminated with rectangular,"banner is a logo, which makes it different from umbrella",No
3891,8981,rope and screws can be discriminated with braided,"rope can be used for restraining things, which makes it different from screws",No
2124,12637,cat and goat can be discriminated with claws,"cat is a typical pet, which makes it different from goat",No
2124,1501,cat and goat can be discriminated with claws,"cat can be used for food products, which makes it different from goat",No
2124,14332,cat and goat can be discriminated with claws,"cat can be kept inside a bedroom, which makes it different from goat",No
2124,9900,cat and goat can be discriminated with claws,"cat is carnivorous, which makes it different from goat",No
209,11530,hair and body can be discriminated with keratin,"hair is on a person's exterior, which makes it different from body",No
209,12128,hair and body can be discriminated with keratin,"hair can be found on you head, which makes it different from body",No
209,2418,hair and body can be discriminated with keratin,"hair can be found on your head, which makes it different from body",No
209,3591,hair and body can be discriminated with keratin,"hair can be found below the knee, which makes it different from body",No
210,2757,jeans and gown can be discriminated with denim,"jeans is a worn on the lower body, which makes it different from gown",No
210,14237,jeans and gown can be discriminated with denim,"jeans is worn below the waist, which makes it different from gown",No
210,12680,jeans and gown can be discriminated with denim,"jeans can be found on lower body, which makes it different from gown",No
210,12334,jeans and gown can be discriminated with denim,"jeans have (a) two seperate pant legs, which makes it different from gown",No
359,2757,jeans and gown can be discriminated with buttons,"jeans is a worn on the lower body, which makes it different from gown",No
359,14237,jeans and gown can be discriminated with buttons,"jeans is worn below the waist, which makes it different from gown",No
359,12680,jeans and gown can be discriminated with buttons,"jeans can be found on lower body, which makes it different from gown",No
359,12334,jeans and gown can be discriminated with buttons,"jeans have (a) two seperate pant legs, which makes it different from gown",No
212,9528,bed and curtains can be discriminated with headboard,"bed can be used to sleep, which makes it different from curtains",No
212,9986,bed and curtains can be discriminated with headboard,"bed is made of wood, which makes it different from curtains",Not Sure
212,9182,bed and curtains can be discriminated with headboard,"bed have (a) largest dimension parallel to floor, which makes it different from curtains",No
212,245,bed and curtains can be discriminated with headboard,"bed is made of wood typically, which makes it different from curtains",Not Sure
212,13443,bed and curtains can be discriminated with headboard,"bed is placed horizontally (longest dimension), which makes it different from curtains",No
212,13980,bed and curtains can be discriminated with headboard,"bed can be found in the room you sleep, which makes it different from curtains",No
213,295,snail and wasp can be discriminated with antennae,"snail is made of small animals, which makes it different from wasp",No
213,8133,snail and wasp can be discriminated with antennae,"snail have (a) no legs, which makes it different from wasp",No
213,26,snail and wasp can be discriminated with antennae,"snail is a crustecean, which makes it different from wasp",No
216,11079,lobster and tuna can be discriminated with claws,"lobster have (a) shell, which makes it different from tuna",No
216,15178,lobster and tuna can be discriminated with claws,"lobster have (a) legs, which makes it different from tuna",No
217,5380,hut and cottage can be discriminated with grass,"hut is a black and white picture, which makes it different from cottage",No
217,2281,hut and cottage can be discriminated with grass,"hut have (a)  5 letters or less, which makes it different from cottage",No
1439,5380,hut and cottage can be discriminated with straw,"hut is a black and white picture, which makes it different from cottage",No
1439,2281,hut and cottage can be discriminated with straw,"hut have (a)  5 letters or less, which makes it different from cottage",No
3527,1509,cod and squid can be discriminated with fins,"cod is a fish, which makes it different from squid",Yes
3527,12362,cod and squid can be discriminated with fins,"cod have (a) fins, which makes it different from squid",Yes
221,12259,avocado and broccoli can be discriminated with seeds,"avocado is something people usually eat raw, which makes it different from broccoli",No
221,3600,avocado and broccoli can be discriminated with seeds,"avocado is a fruit, which makes it different from broccoli",No
228,7300,plum and coconut can be discriminated with purple,"plum is a physical fruit or veg, which makes it different from coconut",No
228,7776,plum and coconut can be discriminated with purple,"plum have (a) single hard pit, which makes it different from coconut",No
228,5062,plum and coconut can be discriminated with purple,"plum have (a) stone, which makes it different from coconut",No
229,15138,oven and dishwasher can be discriminated with control,"oven can be used for cooking food, which makes it different from dishwasher",Not Sure
229,9203,oven and dishwasher can be discriminated with control,"oven can be used for making food, which makes it different from dishwasher",No
229,11501,oven and dishwasher can be discriminated with control,"oven can be used for heating items up, which makes it different from dishwasher",Not Sure
2676,10839,saxophone and harp can be discriminated with mouthpiece,"saxophone is a wind instrument, which makes it different from harp",Yes
2676,10764,saxophone and harp can be discriminated with mouthpiece,"saxophone can usually be played  with mouth, which makes it different from harp",Yes
2676,6907,saxophone and harp can be discriminated with mouthpiece,"saxophone is made of strings, which makes it different from harp",No
1648,8454,rope and bolts can be discriminated with thin,"rope can be used for restraining things, which makes it different from bolts",No
1648,12767,rope and bolts can be discriminated with thin,"rope can be wrapped around something, which makes it different from bolts",No
240,7213,socks and jacket can be discriminated with holes,"socks can be found on your feet, which makes it different from jacket",No
240,9116,socks and jacket can be discriminated with holes,"socks can be found on lower body, which makes it different from jacket",No
240,5749,socks and jacket can be discriminated with holes,"socks is part of (a) lower waistline, which makes it different from jacket",No
240,4805,socks and jacket can be discriminated with holes,"socks is worn below the waist, which makes it different from jacket",No
682,9233,cannon and rocket can be discriminated with balls,"cannon is made for violence, which makes it different from rocket",No
682,2241,cannon and rocket can be discriminated with balls,"cannon is a weapon, which makes it different from rocket",No
682,7498,cannon and rocket can be discriminated with balls,"cannon have (a) wheels, which makes it different from rocket",No
682,736,cannon and rocket can be discriminated with balls,"cannon can be used for shooting, which makes it different from rocket",No
682,5858,cannon and rocket can be discriminated with balls,"cannon can be used for firing artillery, which makes it different from rocket",Not Sure
682,852,cannon and rocket can be discriminated with balls,"cannon can used in war, which makes it different from rocket",No
2325,376,elephant and cow can be discriminated with peanuts,"elephant can be used for riding, which makes it different from cow",No
247,3807,room and floor can be discriminated with large,"room is part of (a) room, which makes it different from floor",No
247,12855,room and floor can be discriminated with large,"room can be opened/closed, which makes it different from floor",No
247,5994,room and floor can be discriminated with large,"room is an enclosed space, which makes it different from floor",No
250,12972,prune and cranberry can be discriminated with pit,"prune have (a) single hard pit, which makes it different from cranberry",Yes
3138,12972,prune and cranberry can be discriminated with wrinkled,"prune have (a) single hard pit, which makes it different from cranberry",No
2046,12972,prune and cranberry can be discriminated with purple,"prune have (a) single hard pit, which makes it different from cranberry",No
994,11224,bed and door can be discriminated with headboard,"bed can be used to sleep, which makes it different from door",No
994,4157,bed and door can be discriminated with headboard,"bed have (a) largest dimension parallel to floor, which makes it different from door",No
994,27,bed and door can be discriminated with headboard,"bed can can you sit on it, which makes it different from door",No
994,1226,bed and door can be discriminated with headboard,"bed is placed horizontally (longest dimension), which makes it different from door",No
994,12688,bed and door can be discriminated with headboard,"bed is in the bedroom, which makes it different from door",No
994,5005,bed and door can be discriminated with headboard,"bed can be found in the room you sleep, which makes it different from door",No
2557,6769,canoe and boat can be discriminated with thin,"canoe is colored red, which makes it different from boat",No
3677,6769,canoe and boat can be discriminated with tips,"canoe is colored red, which makes it different from boat",No
253,6769,canoe and boat can be discriminated with fibreglass,"canoe is colored red, which makes it different from boat",No
254,7708,pencil and screwdriver can be discriminated with thin,"pencil can writing, which makes it different from screwdriver",No
254,5175,pencil and screwdriver can be discriminated with thin,"pencil can be used for cutting, which makes it different from screwdriver",No
254,8128,pencil and screwdriver can be discriminated with thin,"pencil can be used for writing, which makes it different from screwdriver",No
254,10560,pencil and screwdriver can be discriminated with thin,"pencil can be used for writing/drawing, which makes it different from screwdriver",No
256,7657,rattlesnake and crocodile can be discriminated with slithers,"rattlesnake is poisonous, which makes it different from crocodile",No
1264,7765,salmon and chicken can be discriminated with fins,"salmon is a fish, which makes it different from chicken",Yes
1264,9894,salmon and chicken can be discriminated with fins,"salmon is a water animal, which makes it different from chicken",No
1264,8007,salmon and chicken can be discriminated with fins,"salmon can be found at sea, which makes it different from chicken",No
1264,14669,salmon and chicken can be discriminated with fins,"salmon have (a) fins, which makes it different from chicken",Yes
2015,6264,spider and beetle can be discriminated with webs,"spider can flying, which makes it different from beetle",No
261,3663,owl and sparrow can be discriminated with mice,"owl is a predator, which makes it different from sparrow",Not Sure
2118,3456,skunk and deer can be discriminated with stripe,"skunk can be held, which makes it different from deer",No
302,12142,sailboat and raft can be discriminated with sizes,"sailboat have (a) motor, which makes it different from raft",No
265,6804,woman and boy can be discriminated with female,"woman is exclusively female, which makes it different from boy",Yes
265,10780,woman and boy can be discriminated with female,"woman is a female, which makes it different from boy",Yes
265,2799,woman and boy can be discriminated with female,"woman have (a) friends on it, which makes it different from boy",No
265,13320,woman and boy can be discriminated with female,"woman is a female (strictly), which makes it different from boy",Yes
265,6617,woman and boy can be discriminated with female,"woman have (a) color, which makes it different from boy",No
265,12123,woman and boy can be discriminated with female,"woman can become pregnant, which makes it different from boy",No
265,13605,woman and boy can be discriminated with female,"woman is female, which makes it different from boy",Yes
265,13542,woman and boy can be discriminated with female,"woman is a picture of a female, which makes it different from boy",Yes
271,688,kettle and tray can be discriminated with electrical,"kettle is a cylinder, which makes it different from tray",No
271,13124,kettle and tray can be discriminated with electrical,"kettle is a electrical appliance, which makes it different from tray",Yes
271,4184,kettle and tray can be discriminated with electrical,"kettle can be plugged in, which makes it different from tray",Yes
271,1164,kettle and tray can be discriminated with electrical,"kettle can hold water, which makes it different from tray",No
271,14290,kettle and tray can be discriminated with electrical,"kettle can be used for heating items up, which makes it different from tray",No
271,4684,kettle and tray can be discriminated with electrical,"kettle is made of metal, which makes it different from tray",No
271,8318,kettle and tray can be discriminated with electrical,"kettle is part of (a) kitchen appliance, which makes it different from tray",Not Sure
271,6298,kettle and tray can be discriminated with electrical,"kettle have (a) handle, which makes it different from tray",No
2034,11563,raft and sled can be discriminated with square,"raft can be found in water, which makes it different from sled",No
2034,9926,raft and sled can be discriminated with square,"raft can be used for water, which makes it different from sled",No
2034,910,raft and sled can be discriminated with square,"raft is a type of watercraft, which makes it different from sled",No
945,2741,typewriter and pencil can be discriminated with letters,"typewriter is made of /mostly made of metal, which makes it different from pencil",No
945,9367,typewriter and pencil can be discriminated with letters,"typewriter can be used for drawing, which makes it different from pencil",Not Sure
945,3499,typewriter and pencil can be discriminated with letters,"typewriter have (a) keyboard, which makes it different from pencil",Yes
2762,13847,camel and sheep can be discriminated with hump,"camel can be used for riding, which makes it different from sheep",No
608,1597,gate and cottage can be discriminated with latch,"gate is a component of a home, which makes it different from cottage",No
608,14547,gate and cottage can be discriminated with latch,"gate is a 4 letter word, which makes it different from cottage",No
608,6815,gate and cottage can be discriminated with latch,"gate can be found at your home, which makes it different from cottage",No
608,10699,gate and cottage can be discriminated with latch,"gate have (a)  5 letters or less, which makes it different from cottage",No
283,6043,sack and jacket can be discriminated with burlap,"sack is a an accessory, which makes it different from jacket",No
293,3294,cow and dog can be discriminated with large,"cow can be found on a farm, which makes it different from dog",No
293,12353,cow and dog can be discriminated with large,"cow can be found at the supermarket deli, which makes it different from dog",No
293,3481,cow and dog can be discriminated with large,"cow is a teeth, which makes it different from dog",No
554,13988,shoes and shirt can be discriminated with laces,"shoes can be found on your feet, which makes it different from shirt",No
554,1305,shoes and shirt can be discriminated with laces,"shoes can be found on lower body, which makes it different from shirt",No
554,3856,shoes and shirt can be discriminated with laces,"shoes is part of (a) lower waistline, which makes it different from shirt",No
297,11254,strawberry and banana can be discriminated with seeds,"strawberry can be eaten in one bite, which makes it different from banana",No
297,6963,strawberry and banana can be discriminated with seeds,"strawberry is a berry, which makes it different from banana",No
297,15419,strawberry and banana can be discriminated with seeds,"strawberry is a red  or orang, which makes it different from banana",No
2598,1919,saxophone and tuba can be discriminated with reeds,"saxophone have (a) reed to make it work, which makes it different from tuba",Yes
299,8435,frog and tiger can be discriminated with small,"frog can be domesticated, which makes it different from tiger",No
299,13646,frog and tiger can be discriminated with small,"frog is domesticable (usually), which makes it different from tiger",No
305,981,cat and elephant can be discriminated with paws,"cat can be domesticated, which makes it different from elephant",No
305,13986,cat and elephant can be discriminated with paws,"cat have (a) fur, which makes it different from elephant",No
305,4146,cat and elephant can be discriminated with paws,"cat is carnivorous, which makes it different from elephant",No
305,6485,cat and elephant can be discriminated with paws,"cat is a common pet, which makes it different from elephant",No
305,3238,cat and elephant can be discriminated with paws,"cat have (a)  mane (hair on it), which makes it different from elephant",No
305,9688,cat and elephant can be discriminated with paws,"cat is domesticable (usually), which makes it different from elephant",No
305,13328,cat and elephant can be discriminated with paws,"cat is fluffy, which makes it different from elephant",Not Sure
2369,981,cat and elephant can be discriminated with mice,"cat can be domesticated, which makes it different from elephant",No
2369,13986,cat and elephant can be discriminated with mice,"cat have (a) fur, which makes it different from elephant",No
2369,4146,cat and elephant can be discriminated with mice,"cat is carnivorous, which makes it different from elephant",Not Sure
2369,6485,cat and elephant can be discriminated with mice,"cat is a common pet, which makes it different from elephant",No
2369,3238,cat and elephant can be discriminated with mice,"cat have (a)  mane (hair on it), which makes it different from elephant",No
2369,9688,cat and elephant can be discriminated with mice,"cat is domesticable (usually), which makes it different from elephant",No
2369,13328,cat and elephant can be discriminated with mice,"cat is fluffy, which makes it different from elephant",No
311,11262,elephant and turtle can be discriminated with trunk,"elephant have (a) four feet, which makes it different from turtle",No
3495,11262,elephant and turtle can be discriminated with tusks,"elephant have (a) four feet, which makes it different from turtle",No
312,2475,saucer and balloon can be discriminated with china,"saucer can be used for food, which makes it different from balloon",No
3110,2475,saucer and balloon can be discriminated with porcelain,"saucer can be used for food, which makes it different from balloon",No
316,2295,tomato and onions can be discriminated with seeds,"tomato is red, which makes it different from onions",No
316,14254,tomato and onions can be discriminated with seeds,"tomato have (a) seeds, which makes it different from onions",Yes
316,10741,tomato and onions can be discriminated with seeds,"tomato is a fruit, which makes it different from onions",No
318,7214,frog and cow can be discriminated with jumps,"frog can be used for food products, which makes it different from cow",No
318,14858,frog and cow can be discriminated with jumps,"frog is carnivorous, which makes it different from cow",No
318,12860,frog and cow can be discriminated with jumps,"frog can be kept inside a bedroom, which makes it different from cow",No
946,7214,frog and cow can be discriminated with swims,"frog can be used for food products, which makes it different from cow",No
946,14858,frog and cow can be discriminated with swims,"frog is carnivorous, which makes it different from cow",No
946,12860,frog and cow can be discriminated with swims,"frog can be kept inside a bedroom, which makes it different from cow",No
319,5673,dog and cow can be discriminated with chases,"dog have (a) fur, which makes it different from cow",No
319,4483,dog and cow can be discriminated with chases,"dog is carnivorous, which makes it different from cow",No
319,4006,dog and cow can be discriminated with chases,"dog is a typical pet, which makes it different from cow",No
319,4086,dog and cow can be discriminated with chases,"dog can be kept inside a bedroom, which makes it different from cow",No
319,7644,dog and cow can be discriminated with chases,"dog can be used for food products, which makes it different from cow",No
319,2120,dog and cow can be discriminated with chases,"dog is fluffy, which makes it different from cow",No
1990,5673,dog and cow can be discriminated with cats,"dog have (a) fur, which makes it different from cow",No
1990,4483,dog and cow can be discriminated with cats,"dog is carnivorous, which makes it different from cow",No
1990,4006,dog and cow can be discriminated with cats,"dog is a typical pet, which makes it different from cow",No
1990,4086,dog and cow can be discriminated with cats,"dog can be kept inside a bedroom, which makes it different from cow",No
1990,7644,dog and cow can be discriminated with cats,"dog can be used for food products, which makes it different from cow",No
1990,2120,dog and cow can be discriminated with cats,"dog is fluffy, which makes it different from cow",No
2264,2667,skirt and gown can be discriminated with materials,"skirt is a worn on the lower body, which makes it different from gown",No
2264,14101,skirt and gown can be discriminated with materials,"skirt can be found on lower body, which makes it different from gown",No
2264,844,skirt and gown can be discriminated with materials,"skirt is worn below the waist, which makes it different from gown",No
323,8229,octopus and eel can be discriminated with ink,"octopus is a mollusk, which makes it different from eel",No
323,8705,octopus and eel can be discriminated with ink,"octopus have (a) legs/tentacles, which makes it different from eel",No
323,6621,octopus and eel can be discriminated with ink,"octopus have (a) legs, which makes it different from eel",No
373,7850,lemon and garlic can be discriminated with seeds,"lemon have (a) usually inedible skin, which makes it different from garlic",No
373,6985,lemon and garlic can be discriminated with seeds,"lemon is yellow, which makes it different from garlic",No
373,403,lemon and garlic can be discriminated with seeds,"lemon is a citrus fruit, which makes it different from garlic",No
373,14951,lemon and garlic can be discriminated with seeds,"lemon is a fruit, which makes it different from garlic",No
373,7868,lemon and garlic can be discriminated with seeds,"lemon is a citrus fruit, which makes it different from garlic",No
373,5885,lemon and garlic can be discriminated with seeds,"lemon have (a) seeds, which makes it different from garlic",Yes
1399,8358,prune and banana can be discriminated with wrinkled,"prune is a word beginning with p, which makes it different from banana",No
1399,4757,prune and banana can be discriminated with wrinkled,"prune have (a) stone inside, which makes it different from banana",No
1399,14560,prune and banana can be discriminated with wrinkled,"prune have (a) single hard pit, which makes it different from banana",No
1399,138,prune and banana can be discriminated with wrinkled,"prune have (a) edible skin, which makes it different from banana",No
1399,9793,prune and banana can be discriminated with wrinkled,"prune can be eaten in one bite, which makes it different from banana",No
1399,8728,prune and banana can be discriminated with wrinkled,"prune have (a) (usually) edible skin, which makes it different from banana",No
1399,4712,prune and banana can be discriminated with wrinkled,"prune is a berry, which makes it different from banana",No
1399,5045,prune and banana can be discriminated with wrinkled,"prune have (a) edible skin (usually), which makes it different from banana",No
1229,8358,prune and banana can be discriminated with dried,"prune is a word beginning with p, which makes it different from banana",No
1229,4757,prune and banana can be discriminated with dried,"prune have (a) stone inside, which makes it different from banana",No
1229,14560,prune and banana can be discriminated with dried,"prune have (a) single hard pit, which makes it different from banana",No
1229,138,prune and banana can be discriminated with dried,"prune have (a) edible skin, which makes it different from banana",No
1229,9793,prune and banana can be discriminated with dried,"prune can be eaten in one bite, which makes it different from banana",No
1229,8728,prune and banana can be discriminated with dried,"prune have (a) (usually) edible skin, which makes it different from banana",No
1229,4712,prune and banana can be discriminated with dried,"prune is a berry, which makes it different from banana",No
1229,5045,prune and banana can be discriminated with dried,"prune have (a) edible skin (usually), which makes it different from banana",No
328,8814,pear and raspberry can be discriminated with white,"pear have (a) yellow color, which makes it different from raspberry",No
328,2643,pear and raspberry can be discriminated with white,"pear have (a) peel, which makes it different from raspberry",No
706,4884,candle and cigarette can be discriminated with wax,"candle can be used for lighting, which makes it different from cigarette",No
706,3871,candle and cigarette can be discriminated with wax,"candle can be used for camping gear, which makes it different from cigarette",No
706,8746,candle and cigarette can be discriminated with wax,"candle can generate light, which makes it different from cigarette",No
706,6991,candle and cigarette can be discriminated with wax,"candle can be used for a light source, which makes it different from cigarette",No
706,7381,candle and cigarette can be discriminated with wax,"candle can be used for providing light, which makes it different from cigarette",No
706,13898,candle and cigarette can be discriminated with wax,"candle is made of /contain glass, which makes it different from cigarette",No
3034,8489,jacket and trousers can be discriminated with sleeves,"jacket can be found on your upper torso, which makes it different from trousers",No
3034,4921,jacket and trousers can be discriminated with sleeves,"jacket have (a) sleeves, which makes it different from trousers",Yes
3034,7298,jacket and trousers can be discriminated with sleeves,"jacket can be found upper part of body, which makes it different from trousers",No
333,15397,camel and elephant can be discriminated with brown,"camel can be used for crossing deserts, which makes it different from elephant",No
333,10013,camel and elephant can be discriminated with brown,"camel can be domesticated, which makes it different from elephant",No
333,10661,camel and elephant can be discriminated with brown,"camel can be found jungle, which makes it different from elephant",No
333,143,camel and elephant can be discriminated with brown,"camel have (a)  mane (hair on it), which makes it different from elephant",No
333,163,camel and elephant can be discriminated with brown,"camel is domesticable (usually), which makes it different from elephant",No
333,6688,camel and elephant can be discriminated with brown,"camel is fluffy, which makes it different from elephant",No
337,9416,elephant and squirrel can be discriminated with peanuts,"elephant can kill a human, which makes it different from squirrel",No
337,3351,elephant and squirrel can be discriminated with peanuts,"elephant have (a) four feet, which makes it different from squirrel",No
2277,483,cat and deer can be discriminated with mice,"cat can be domesticated, which makes it different from deer",No
2277,6826,cat and deer can be discriminated with mice,"cat have (a) fur, which makes it different from deer",No
2277,391,cat and deer can be discriminated with mice,"cat is carnivorous, which makes it different from deer",Not Sure
2277,5568,cat and deer can be discriminated with mice,"cat is a typical pet, which makes it different from deer",No
2277,2309,cat and deer can be discriminated with mice,"cat is domesticable (usually), which makes it different from deer",No
2277,9291,cat and deer can be discriminated with mice,"cat is fluffy, which makes it different from deer",No
1887,12558,balloon and saucer can be discriminated with rubber,"balloon can be found in the air, which makes it different from saucer",No
1887,12674,balloon and saucer can be discriminated with rubber,"balloon have (a) the ability to fly, which makes it different from saucer",No
350,6732,pigeon and hawk can be discriminated with manure,"pigeon is part of (a) wild life, which makes it different from hawk",No
350,2190,pigeon and hawk can be discriminated with manure,"pigeon is domesticated, which makes it different from hawk",No
2389,1736,orange and tomato can be discriminated with sections,"orange is a citrus fruit, which makes it different from tomato",No
2558,1432,wasp and flea can be discriminated with stinger,"wasp can fly, which makes it different from flea",No
2558,5911,wasp and flea can be discriminated with stinger,"wasp have (a) wings, which makes it different from flea",No
2558,10022,wasp and flea can be discriminated with stinger,"wasp can flying, which makes it different from flea",No
354,7294,gate and chapel can be discriminated with latch,"gate is a component of a home, which makes it different from chapel",No
354,9896,gate and chapel can be discriminated with latch,"gate can be found at your home, which makes it different from chapel",No
356,9984,brother and daughter can be discriminated with male,"brother is a man, which makes it different from daughter",Yes
356,3270,brother and daughter can be discriminated with male,"brother is a male, which makes it different from daughter",Yes
356,9594,brother and daughter can be discriminated with male,"brother is a family member, which makes it different from daughter",No
357,13649,jeans and blouse can be discriminated with fades,"jeans can be found on lower body, which makes it different from blouse",No
357,6127,jeans and blouse can be discriminated with fades,"jeans is worn below the waist, which makes it different from blouse",No
357,13613,jeans and blouse can be discriminated with fades,"jeans is a worn on the lower body, which makes it different from blouse",No
357,4926,jeans and blouse can be discriminated with fades,"jeans can be used for covering legs, which makes it different from blouse",No
357,9127,jeans and blouse can be discriminated with fades,"jeans is part of (a) lower waistline, which makes it different from blouse",No
1570,13649,jeans and blouse can be discriminated with zipper,"jeans can be found on lower body, which makes it different from blouse",No
1570,6127,jeans and blouse can be discriminated with zipper,"jeans is worn below the waist, which makes it different from blouse",No
1570,13613,jeans and blouse can be discriminated with zipper,"jeans is a worn on the lower body, which makes it different from blouse",No
1570,4926,jeans and blouse can be discriminated with zipper,"jeans can be used for covering legs, which makes it different from blouse",No
1570,9127,jeans and blouse can be discriminated with zipper,"jeans is part of (a) lower waistline, which makes it different from blouse",No
2875,6782,mackerel and lobster can be discriminated with scales,"mackerel have (a) fins, which makes it different from lobster",No
2875,7529,mackerel and lobster can be discriminated with scales,"mackerel is a fish, which makes it different from lobster",No
2875,3112,mackerel and lobster can be discriminated with scales,"mackerel can be found at sea, which makes it different from lobster",Yes
2099,201,tent and cabin can be discriminated with zippers,"tent is a 4 letter word, which makes it different from cabin",No
2099,10865,tent and cabin can be discriminated with zippers,"tent can be found at your home, which makes it different from cabin",No
367,15067,plum and pear can be discriminated with purple,"plum have (a) stone inside, which makes it different from pear",No
367,14082,plum and pear can be discriminated with purple,"plum have (a) big seed, which makes it different from pear",No
367,1271,plum and pear can be discriminated with purple,"plum have (a) single hard pit, which makes it different from pear",No
367,9294,plum and pear can be discriminated with purple,"plum have (a) stone, which makes it different from pear",No
367,284,plum and pear can be discriminated with purple,"plum is red, which makes it different from pear",No
367,12943,plum and pear can be discriminated with purple,"plum can be used for smoothies, which makes it different from pear",No
3416,3863,boots and socks can be discriminated with rubber,"boots can be tied, which makes it different from socks",No
3755,3863,boots and socks can be discriminated with laces,"boots can be tied, which makes it different from socks",Yes
3327,3863,boots and socks can be discriminated with soles,"boots can be tied, which makes it different from socks",No
371,10175,nurse and worker can be discriminated with health,"nurse can be found in a hospital, which makes it different from worker",Yes
371,7944,nurse and worker can be discriminated with health,"nurse have (a) the color brown in it, which makes it different from worker",No
371,8675,nurse and worker can be discriminated with health,"nurse is a job or profession, which makes it different from worker",No
2317,10175,nurse and worker can be discriminated with pediatric,"nurse can be found in a hospital, which makes it different from worker",Yes
2317,7944,nurse and worker can be discriminated with pediatric,"nurse have (a) the color brown in it, which makes it different from worker",No
2317,8675,nurse and worker can be discriminated with pediatric,"nurse is a job or profession, which makes it different from worker",No
374,4643,hut and cabin can be discriminated with straw,"hut is a black and white picture, which makes it different from cabin",No
1295,5334,skirt and shirt can be discriminated with lengths,"skirt can be found on lower body, which makes it different from shirt",No
1295,11110,skirt and shirt can be discriminated with lengths,"skirt is worn below the waist, which makes it different from shirt",No
1295,1549,skirt and shirt can be discriminated with lengths,"skirt is a worn on the lower body, which makes it different from shirt",No
1295,8037,skirt and shirt can be discriminated with lengths,"skirt can be used for covering legs, which makes it different from shirt",No
1295,8846,skirt and shirt can be discriminated with lengths,"skirt is part of (a) lower waistline, which makes it different from shirt",No
542,7058,hose and tap can be discriminated with sizes,"hose can be used for restraining something/somebody, which makes it different from tap",No
542,8328,hose and tap can be discriminated with sizes,"hose have (a) string or line, which makes it different from tap",No
542,14074,hose and tap can be discriminated with sizes,"hose can be wrapped around something, which makes it different from tap",No
542,9101,hose and tap can be discriminated with sizes,"hose can be used for a vehicle, which makes it different from tap",No
2589,670,cow and bison can be discriminated with grass,"cow can be domesticated, which makes it different from bison",No
2589,13752,cow and bison can be discriminated with grass,"cow is used for milk for humans, which makes it different from bison",No
2589,9632,cow and bison can be discriminated with grass,"cow is a teeth, which makes it different from bison",No
2589,771,cow and bison can be discriminated with grass,"cow is domesticable (usually), which makes it different from bison",No
2589,6241,cow and bison can be discriminated with grass,"cow can be found on a farm, which makes it different from bison",Not Sure
1387,5243,hose and clamp can be discriminated with thin,"hose can be used for a vehicle, which makes it different from clamp",No
1387,14742,hose and clamp can be discriminated with thin,"hose can be found kitchen, which makes it different from clamp",No
1387,2069,hose and clamp can be discriminated with thin,"hose can provide water, which makes it different from clamp",No
1387,2577,hose and clamp can be discriminated with thin,"hose can be wrapped around something, which makes it different from clamp",No
1025,13648,plum and cranberry can be discriminated with pit,"plum is a physical fruit or veg, which makes it different from cranberry",No
1025,9407,plum and cranberry can be discriminated with pit,"plum have (a) single hard pit, which makes it different from cranberry",Yes
1025,9354,plum and cranberry can be discriminated with pit,"plum have (a) stone, which makes it different from cranberry",Yes
