ID,question,concept,candidate_statement,SimCSE_score,relevant,correct
b448ec04bbff943f8e04d631e574fb79|A|c|0,Where would you store a book that you're taking with you on vacation?,classroom,classroom can be used for reading and studying,0.6392,Yes,Yes
b448ec04bbff943f8e04d631e574fb79|A|c|1,Where would you store a book that you're taking with you on vacation?,classroom,classroom can be used for reading,0.6257,Yes,Yes
b448ec04bbff943f8e04d631e574fb79|A|c|2,Where would you store a book that you're taking with you on vacation?,classroom,classroom can be used for learning,0.5675,Yes,Yes
b448ec04bbff943f8e04d631e574fb79|A|c|3,Where would you store a book that you're taking with you on vacation?,classroom,classroom is a room in a property,0.5635,No,Yes
b448ec04bbff943f8e04d631e574fb79|A|c|4,Where would you store a book that you're taking with you on vacation?,classroom,classroom is a location,0.5583,Yes,Yes
b448ec04bbff943f8e04d631e574fb79|B|c|0,Where would you store a book that you're taking with you on vacation?,briefcase,briefcase can be used for carrying things,0.7392,Yes,Yes
b448ec04bbff943f8e04d631e574fb79|B|c|1,Where would you store a book that you're taking with you on vacation?,briefcase,briefcase can be used for storage,0.7275,Yes,Yes
b448ec04bbff943f8e04d631e574fb79|B|c|2,Where would you store a book that you're taking with you on vacation?,briefcase,briefcase is a piece of furniture,0.6280,No,Yes
b448ec04bbff943f8e04d631e574fb79|B|c|3,Where would you store a book that you're taking with you on vacation?,briefcase,briefcase is not a school supply,0.5603,No,Yes
b448ec04bbff943f8e04d631e574fb79|B|c|4,Where would you store a book that you're taking with you on vacation?,briefcase,briefcase is not a building,0.5474,No,Yes
b448ec04bbff943f8e04d631e574fb79|E|c|0,Where would you store a book that you're taking with you on vacation?,synagogue,synagogue is a religious card,0.5566,No,Yes
b448ec04bbff943f8e04d631e574fb79|E|c|1,Where would you store a book that you're taking with you on vacation?,synagogue,synagogue is a place or location,0.5560,Yes,Yes
b448ec04bbff943f8e04d631e574fb79|E|c|2,Where would you store a book that you're taking with you on vacation?,synagogue,synagogue can have people go inside,0.5433,No,Yes
b448ec04bbff943f8e04d631e574fb79|E|c|3,Where would you store a book that you're taking with you on vacation?,synagogue,synagogue is a place,0.5410,Yes,Yes
b448ec04bbff943f8e04d631e574fb79|E|c|4,Where would you store a book that you're taking with you on vacation?,synagogue,synagogue have (a) ticket box usually,0.5084,No,No
ca60a46c9007e4b6213f50bfb5342fdd|C|c|0,If you own a cat where is the last place you'd want to find it?,backyard,backyard is not a place you visit often,0.5978,Yes,Yes
ca60a46c9007e4b6213f50bfb5342fdd|C|c|1,If you own a cat where is the last place you'd want to find it?,backyard,backyard is not a animal,0.5643,No,Yes
ca60a46c9007e4b6213f50bfb5342fdd|C|c|2,If you own a cat where is the last place you'd want to find it?,backyard,backyard can not be used for swimming,0.5624,No,Yes
ca60a46c9007e4b6213f50bfb5342fdd|C|c|3,If you own a cat where is the last place you'd want to find it?,backyard,backyard is not a nature-related,0.5250,No,No
ca60a46c9007e4b6213f50bfb5342fdd|C|c|4,If you own a cat where is the last place you'd want to find it?,backyard,backyard can not be used for standing on,0.5218,No,No
ca60a46c9007e4b6213f50bfb5342fdd|E|c|0,If you own a cat where is the last place you'd want to find it?,home,home can not be found in a kitchen,0.5272,Yes,No
ca60a46c9007e4b6213f50bfb5342fdd|E|c|1,If you own a cat where is the last place you'd want to find it?,home,home can not be found in a house,0.5264,Yes,No
cc2f6aa9c3000a79aa3d53552bc597f4|A|c|0,Where is the closest place you would cook bbq?,restaurant,restaurant is a place you can go,0.7303,No,Yes
cc2f6aa9c3000a79aa3d53552bc597f4|A|c|1,Where is the closest place you would cook bbq?,restaurant,restaurant is related to eating,0.6890,Yes,Yes
cc2f6aa9c3000a79aa3d53552bc597f4|A|c|2,Where is the closest place you would cook bbq?,restaurant,restaurant is a business that serves food,0.6863,Yes,Yes
cc2f6aa9c3000a79aa3d53552bc597f4|A|c|3,Where is the closest place you would cook bbq?,restaurant,restaurant can be used for serving food,0.6760,Yes,Yes
cc2f6aa9c3000a79aa3d53552bc597f4|A|c|4,Where is the closest place you would cook bbq?,restaurant,restaurant is a type of business,0.6740,No,Yes
cc2f6aa9c3000a79aa3d53552bc597f4|B|c|0,Where is the closest place you would cook bbq?,backyard,backyard is a place or location,0.6884,Yes,Yes
cc2f6aa9c3000a79aa3d53552bc597f4|B|c|1,Where is the closest place you would cook bbq?,backyard,backyard can be used for recreation/leisure,0.6509,Yes,Yes
cc2f6aa9c3000a79aa3d53552bc597f4|B|c|2,Where is the closest place you would cook bbq?,backyard,backyard is a outdoor location,0.6449,Yes,Yes
cc2f6aa9c3000a79aa3d53552bc597f4|B|c|3,Where is the closest place you would cook bbq?,backyard,backyard can be man made,0.6089,No,Yes
cc2f6aa9c3000a79aa3d53552bc597f4|B|c|4,Where is the closest place you would cook bbq?,backyard,backyard have (a) properties of any kind,0.6069,No,Yes
cc2f6aa9c3000a79aa3d53552bc597f4|D|c|0,Where is the closest place you would cook bbq?,summer,summer is hot,0.6256,Yes,Yes
cc2f6aa9c3000a79aa3d53552bc597f4|E|c|0,Where is the closest place you would cook bbq?,louisiana,louisiana can be found at south united states,0.5470,No,Yes
544897f4978fb37ab58cba16148edaf1|A|c|0,"The moss was slippery because of constant moisture, what was nearby?",forest,forest is made of a natural material,0.5368,No,Yes
544897f4978fb37ab58cba16148edaf1|A|c|1,"The moss was slippery because of constant moisture, what was nearby?",forest,forest is a place,0.5354,No,Yes
544897f4978fb37ab58cba16148edaf1|A|c|2,"The moss was slippery because of constant moisture, what was nearby?",forest,forest can be found outside,0.5341,No,Yes
544897f4978fb37ab58cba16148edaf1|A|c|3,"The moss was slippery because of constant moisture, what was nearby?",forest,forest is not a inanimate object,0.5248,No,Yes
544897f4978fb37ab58cba16148edaf1|A|c|4,"The moss was slippery because of constant moisture, what was nearby?",forest,forest is part of (a) natural landscape,0.5197,Yes,Yes
544897f4978fb37ab58cba16148edaf1|C|c|0,"The moss was slippery because of constant moisture, what was nearby?",waterfall,waterfall have (a) water,0.6227,Yes,Yes
544897f4978fb37ab58cba16148edaf1|C|c|1,"The moss was slippery because of constant moisture, what was nearby?",waterfall,waterfall is not human made,0.5864,No,Yes
544897f4978fb37ab58cba16148edaf1|C|c|2,"The moss was slippery because of constant moisture, what was nearby?",waterfall,waterfall is not a man made,0.5690,No,Yes
544897f4978fb37ab58cba16148edaf1|E|c|0,"The moss was slippery because of constant moisture, what was nearby?",bridge,bridge can be walked on,0.5589,No,Yes
9eaa61a6b36611bdd39fea7ddaf702de|A|c|0,"If you are in your house, where is the sunshine likely to come through?",windowsill,windowsill can be found in a home,0.7125,Yes,Yes
9eaa61a6b36611bdd39fea7ddaf702de|A|c|1,"If you are in your house, where is the sunshine likely to come through?",windowsill,windowsill can be used for at home,0.7082,Yes,Yes
9eaa61a6b36611bdd39fea7ddaf702de|A|c|2,"If you are in your house, where is the sunshine likely to come through?",windowsill,windowsill is part of (a) house,0.6916,Yes,Yes
9eaa61a6b36611bdd39fea7ddaf702de|A|c|3,"If you are in your house, where is the sunshine likely to come through?",windowsill,windowsill is not found outside a home typically,0.6482,Yes,Yes
9eaa61a6b36611bdd39fea7ddaf702de|A|c|4,"If you are in your house, where is the sunshine likely to come through?",windowsill,windowsill is found inside a house,0.6304,Yes,Yes
9eaa61a6b36611bdd39fea7ddaf702de|C|c|0,"If you are in your house, where is the sunshine likely to come through?",disneyland,disneyland is a vacation destination,0.6078,Yes,Yes
9eaa61a6b36611bdd39fea7ddaf702de|C|c|1,"If you are in your house, where is the sunshine likely to come through?",disneyland,disneyland is a   place,0.5779,Yes,Yes
9eaa61a6b36611bdd39fea7ddaf702de|C|c|2,"If you are in your house, where is the sunshine likely to come through?",disneyland,disneyland is a place,0.5752,Yes,Yes
9eaa61a6b36611bdd39fea7ddaf702de|C|c|3,"If you are in your house, where is the sunshine likely to come through?",disneyland,disneyland is a popular attraction,0.5699,No,No
9eaa61a6b36611bdd39fea7ddaf702de|C|c|4,"If you are in your house, where is the sunshine likely to come through?",disneyland,disneyland is a piece of furniture,0.5677,No,No
804ba1740b2c408e28408d4aab102772|A|c|0,Where might a teacher share her books?,cabinet,cabinet can be used for keeping books,0.6040,Yes,Yes
804ba1740b2c408e28408d4aab102772|B|c|0,Where might a teacher share her books?,classroom,classroom can be used for reading,0.7370,Yes,Yes
804ba1740b2c408e28408d4aab102772|B|c|1,Where might a teacher share her books?,classroom,classroom can be used for reading and studying,0.7106,Yes,Yes
804ba1740b2c408e28408d4aab102772|B|c|2,Where might a teacher share her books?,classroom,classroom can be used for learning,0.6623,Yes,Yes
804ba1740b2c408e28408d4aab102772|B|c|3,Where might a teacher share her books?,classroom,classroom is a place of learning,0.6544,Yes,Yes
804ba1740b2c408e28408d4aab102772|B|c|4,Where might a teacher share her books?,classroom,classroom can be used for viewing/reading,0.6414,Yes,Yes
804ba1740b2c408e28408d4aab102772|C|c|0,Where might a teacher share her books?,shelf,shelf can be found library,0.6223,Yes,Yes
804ba1740b2c408e28408d4aab102772|C|c|1,Where might a teacher share her books?,shelf,shelf is a necessity for education,0.5952,Yes,Yes
804ba1740b2c408e28408d4aab102772|C|c|2,Where might a teacher share her books?,shelf,shelf can be used for to keep items,0.5519,Yes,Yes
804ba1740b2c408e28408d4aab102772|C|c|3,Where might a teacher share her books?,shelf,shelf can be found in the home or  office,0.5483,Yes,Yes
804ba1740b2c408e28408d4aab102772|C|c|4,Where might a teacher share her books?,shelf,shelf can be found indoors,0.5424,Yes,Yes
0d57e7c0f66c7e0981b8aa58474a394d|E|c|0,"Everyone crowded around the toilet during a break in the event, where was the toilet?",bathroom,bathroom can have people  inside,0.6165,Yes,Yes
0d57e7c0f66c7e0981b8aa58474a394d|E|c|1,"Everyone crowded around the toilet during a break in the event, where was the toilet?",bathroom,bathroom have (a) usually have people inside,0.5900,Yes,Yes
0d57e7c0f66c7e0981b8aa58474a394d|E|c|2,"Everyone crowded around the toilet during a break in the event, where was the toilet?",bathroom,bathroom can be used for sport,0.5542,No,Yes
0d57e7c0f66c7e0981b8aa58474a394d|E|c|3,"Everyone crowded around the toilet during a break in the event, where was the toilet?",bathroom,bathroom can be used for urination,0.5436,Yes,Yes
0d57e7c0f66c7e0981b8aa58474a394d|E|c|4,"Everyone crowded around the toilet during a break in the event, where was the toilet?",bathroom,bathroom is man-made,0.5311,No,Yes
1b5f4e8daac97094482b78029a6f4b09|A|c|0,"If I go outside and look down, what will I find outside?",ground,ground can be found outside,0.5780,Yes,Yes
1b5f4e8daac97094482b78029a6f4b09|A|c|1,"If I go outside and look down, what will I find outside?",ground,ground can be touched,0.5280,No,Yes
1b5f4e8daac97094482b78029a6f4b09|A|c|2,"If I go outside and look down, what will I find outside?",ground,ground is found outside a home typically,0.5173,Yes,Yes
1b5f4e8daac97094482b78029a6f4b09|B|c|0,"If I go outside and look down, what will I find outside?",sun,sun is a place,0.6326,No,Yes
1b5f4e8daac97094482b78029a6f4b09|B|c|1,"If I go outside and look down, what will I find outside?",sun,sun is a object/thing,0.6156,No,Yes
1b5f4e8daac97094482b78029a6f4b09|B|c|2,"If I go outside and look down, what will I find outside?",sun,sun is a concept or place,0.6051,Yes,Yes
1b5f4e8daac97094482b78029a6f4b09|B|c|3,"If I go outside and look down, what will I find outside?",sun,sun is a weather,0.5923,No,No
1b5f4e8daac97094482b78029a6f4b09|B|c|4,"If I go outside and look down, what will I find outside?",sun,sun is made of energy,0.5424,No,No
1b5f4e8daac97094482b78029a6f4b09|C|c|0,"If I go outside and look down, what will I find outside?",nature,nature is not a part of a house,0.5121,Yes,No
1b5f4e8daac97094482b78029a6f4b09|D|c|0,"If I go outside and look down, what will I find outside?",sky,sky can be found above the ground,0.6124,Yes,Yes
1b5f4e8daac97094482b78029a6f4b09|D|c|1,"If I go outside and look down, what will I find outside?",sky,sky is a natural thing,0.5916,No,Yes
1b5f4e8daac97094482b78029a6f4b09|D|c|2,"If I go outside and look down, what will I find outside?",sky,sky is not man-made,0.5455,No,Yes
1b5f4e8daac97094482b78029a6f4b09|D|c|3,"If I go outside and look down, what will I find outside?",sky,sky is not man made,0.5387,No,Yes
1b5f4e8daac97094482b78029a6f4b09|D|c|4,"If I go outside and look down, what will I find outside?",sky,sky can rain,0.5375,No,Yes
1b5f4e8daac97094482b78029a6f4b09|E|c|0,"If I go outside and look down, what will I find outside?",street,street can be found on a map,0.6335,No,Yes
1b5f4e8daac97094482b78029a6f4b09|E|c|1,"If I go outside and look down, what will I find outside?",street,street can be found outside,0.5894,Yes,Yes
1b5f4e8daac97094482b78029a6f4b09|E|c|2,"If I go outside and look down, what will I find outside?",street,street is a place or location,0.5766,Yes,Yes
1b5f4e8daac97094482b78029a6f4b09|E|c|3,"If I go outside and look down, what will I find outside?",street,street is a place,0.5585,Yes,Yes
1b5f4e8daac97094482b78029a6f4b09|E|c|4,"If I go outside and look down, what will I find outside?",street,street is a location,0.5584,Yes,Yes
94880c51bdc2254f19cc5f7becea03fe|A|c|0,Where is dust likely to be under?,closet,closet is used for storage,0.7650,Yes,Yes
94880c51bdc2254f19cc5f7becea03fe|A|c|1,Where is dust likely to be under?,closet,closet can be used for storing physical things,0.7440,Yes,Yes
94880c51bdc2254f19cc5f7becea03fe|A|c|2,Where is dust likely to be under?,closet,closet can have someone inside it,0.7380,Yes,Yes
94880c51bdc2254f19cc5f7becea03fe|A|c|3,Where is dust likely to be under?,closet,closet can be used for storing things,0.7345,Yes,Yes
94880c51bdc2254f19cc5f7becea03fe|A|c|4,Where is dust likely to be under?,closet,closet can be used for to keep items,0.7223,Yes,Yes
94880c51bdc2254f19cc5f7becea03fe|B|c|0,Where is dust likely to be under?,ground,ground is not white,0.7354,No,No
94880c51bdc2254f19cc5f7becea03fe|B|c|1,Where is dust likely to be under?,ground,ground can be found outside,0.6961,No,Yes
94880c51bdc2254f19cc5f7becea03fe|B|c|2,Where is dust likely to be under?,ground,ground is a natural or man made,0.6892,No,Yes
94880c51bdc2254f19cc5f7becea03fe|B|c|3,Where is dust likely to be under?,ground,ground is made of organic brown matter,0.6854,No,No
94880c51bdc2254f19cc5f7becea03fe|B|c|4,Where is dust likely to be under?,ground,ground can be touched,0.6710,No,Yes
94880c51bdc2254f19cc5f7becea03fe|C|c|0,Where is dust likely to be under?,windowsill,windowsill is man-made,0.7033,No,Yes
94880c51bdc2254f19cc5f7becea03fe|C|c|1,Where is dust likely to be under?,windowsill,windowsill is part of (a) physical structure,0.6934,No,Yes
94880c51bdc2254f19cc5f7becea03fe|C|c|2,Where is dust likely to be under?,windowsill,windowsill can be found in a home,0.6737,No,Yes
94880c51bdc2254f19cc5f7becea03fe|C|c|3,Where is dust likely to be under?,windowsill,windowsill is made of glass,0.6635,No,Yes
94880c51bdc2254f19cc5f7becea03fe|C|c|4,Where is dust likely to be under?,windowsill,windowsill is found in a home,0.6598,No,Yes
94880c51bdc2254f19cc5f7becea03fe|D|c|0,Where is dust likely to be under?,attic,attic is a room (type),0.7268,No,Yes
94880c51bdc2254f19cc5f7becea03fe|D|c|1,Where is dust likely to be under?,attic,attic is used for storage,0.7253,Yes,Yes
94880c51bdc2254f19cc5f7becea03fe|D|c|2,Where is dust likely to be under?,attic,attic is found in the house,0.7225,No,Yes
94880c51bdc2254f19cc5f7becea03fe|D|c|3,Where is dust likely to be under?,attic,attic is found inside a house,0.7084,No,Yes
94880c51bdc2254f19cc5f7becea03fe|D|c|4,Where is dust likely to be under?,attic,attic is part of (a) house,0.7036,No,Yes
94880c51bdc2254f19cc5f7becea03fe|E|c|0,Where is dust likely to be under?,carpet,carpet can be found on the floor,0.8312,Yes,Yes
94880c51bdc2254f19cc5f7becea03fe|E|c|1,Where is dust likely to be under?,carpet,carpet is a place or location,0.7631,No,No
94880c51bdc2254f19cc5f7becea03fe|E|c|2,Where is dust likely to be under?,carpet,carpet can be found in a home,0.7415,No,Yes
94880c51bdc2254f19cc5f7becea03fe|E|c|3,Where is dust likely to be under?,carpet,carpet is found inside a house,0.7124,No,Yes
94880c51bdc2254f19cc5f7becea03fe|E|c|4,Where is dust likely to be under?,carpet,carpet is part of (a) the interior of a building,0.7010,No,Yes
ca9a3ccfb140aa66816f96ac983b6d9f|B|c|0,"The student needed to  get some new pencils, where did he go?",classroom,classroom is a place where students learn,0.5044,Yes,Yes
ca9a3ccfb140aa66816f96ac983b6d9f|C|c|0,"The student needed to  get some new pencils, where did he go?",backpack,backpack is a school supply,0.5398,No,Yes
ca9a3ccfb140aa66816f96ac983b6d9f|C|c|1,"The student needed to  get some new pencils, where did he go?",backpack,backpack can be used for school,0.5213,Yes,Yes
cfdd7683578d568936fbe383eeabf59f|A|c|0,Where are floors kept clean for holy purposes?,restaurant,restaurant can be used for washing,0.5531,Yes,Yes
cfdd7683578d568936fbe383eeabf59f|A|c|1,Where are floors kept clean for holy purposes?,restaurant,restaurant can not be used for worship,0.5174,Yes,Yes
cfdd7683578d568936fbe383eeabf59f|A|c|2,Where are floors kept clean for holy purposes?,restaurant,restaurant have (a) usually have people inside,0.5145,No,Yes
cfdd7683578d568936fbe383eeabf59f|A|c|3,Where are floors kept clean for holy purposes?,restaurant,restaurant is a room,0.5140,No,Yes
cfdd7683578d568936fbe383eeabf59f|A|c|4,Where are floors kept clean for holy purposes?,restaurant,restaurant is a piece of furniture,0.5053,No,No
cfdd7683578d568936fbe383eeabf59f|B|c|0,Where are floors kept clean for holy purposes?,basement,basement is a place,0.7443,No,Yes
cfdd7683578d568936fbe383eeabf59f|B|c|1,Where are floors kept clean for holy purposes?,basement,basement is a room,0.7442,No,Yes
cfdd7683578d568936fbe383eeabf59f|B|c|2,Where are floors kept clean for holy purposes?,basement,basement is a type of room,0.7386,No,Yes
cfdd7683578d568936fbe383eeabf59f|B|c|3,Where are floors kept clean for holy purposes?,basement,basement is a room (type),0.7322,No,Yes
cfdd7683578d568936fbe383eeabf59f|B|c|4,Where are floors kept clean for holy purposes?,basement,basement is a room in a building,0.7171,No,Yes
cfdd7683578d568936fbe383eeabf59f|D|c|0,Where are floors kept clean for holy purposes?,carpet,carpet can be found on the floor,0.6779,Yes,Yes
cfdd7683578d568936fbe383eeabf59f|D|c|1,Where are floors kept clean for holy purposes?,carpet,carpet is part of (a) the interior of a building,0.6438,No,Yes
cfdd7683578d568936fbe383eeabf59f|D|c|2,Where are floors kept clean for holy purposes?,carpet,carpet is a place or location,0.6425,No,No
cfdd7683578d568936fbe383eeabf59f|D|c|3,Where are floors kept clean for holy purposes?,carpet,carpet can be found in a home,0.6058,No,Yes
cfdd7683578d568936fbe383eeabf59f|D|c|4,Where are floors kept clean for holy purposes?,carpet,carpet can be used for furnishing a house,0.5984,No,Yes
cfdd7683578d568936fbe383eeabf59f|E|c|0,Where are floors kept clean for holy purposes?,synagogue,synagogue can be used for worship,0.6698,Yes,Yes
cfdd7683578d568936fbe383eeabf59f|E|c|1,Where are floors kept clean for holy purposes?,synagogue,synagogue can be used for religious services,0.6674,Yes,Yes
cfdd7683578d568936fbe383eeabf59f|E|c|2,Where are floors kept clean for holy purposes?,synagogue,synagogue is a place,0.6264,No,Yes
cfdd7683578d568936fbe383eeabf59f|E|c|3,Where are floors kept clean for holy purposes?,synagogue,synagogue is religious,0.6172,Yes,Yes
cfdd7683578d568936fbe383eeabf59f|E|c|4,Where are floors kept clean for holy purposes?,synagogue,synagogue is a building,0.6142,No,Yes
c069068d43d4121fc6109d97b8ba95fb|B|c|0,Where do most people keep magazines?,library,library can be used for reading books,0.5749,Yes,Yes
c069068d43d4121fc6109d97b8ba95fb|B|c|1,Where do most people keep magazines?,library,library can be used for reading and borrowing reading materials,0.5680,Yes,Yes
c069068d43d4121fc6109d97b8ba95fb|B|c|2,Where do most people keep magazines?,library,library is a a place to read books,0.5627,Yes,Yes
c069068d43d4121fc6109d97b8ba95fb|B|c|3,Where do most people keep magazines?,library,library can be used for reading,0.5580,Yes,Yes
c069068d43d4121fc6109d97b8ba95fb|B|c|4,Where do most people keep magazines?,library,library can be used for viewing/reading,0.5483,Yes,Yes
e3b05b99436effba6ae8badb4639e14c|A|c|0,A water spout was seen in the ocean off the coast of what?,florida,florida have (a) border with an ocean,0.6531,Yes,Yes
e3b05b99436effba6ae8badb4639e14c|D|c|0,A water spout was seen in the ocean off the coast of what?,beach,beach is part of (a) natural landscape,0.7184,Yes,Yes
e3b05b99436effba6ae8badb4639e14c|D|c|1,A water spout was seen in the ocean off the coast of what?,beach,beach can be found outside,0.7082,No,Yes
e3b05b99436effba6ae8badb4639e14c|D|c|2,A water spout was seen in the ocean off the coast of what?,beach,beach is a nature-related,0.6945,No,Yes
e3b05b99436effba6ae8badb4639e14c|D|c|3,A water spout was seen in the ocean off the coast of what?,beach,beach is not man-made,0.6614,No,Yes
e3b05b99436effba6ae8badb4639e14c|D|c|4,A water spout was seen in the ocean off the coast of what?,beach,beach is a place,0.6588,No,Yes
0f03d65affa73a0c08a8caed11a2b69f|A|c|0,What would you put furniture on top of?,roof,roof can be used for building the structure of house,0.7152,No,Yes
0f03d65affa73a0c08a8caed11a2b69f|A|c|1,What would you put furniture on top of?,roof,roof is a place to store items,0.6842,No,No
0f03d65affa73a0c08a8caed11a2b69f|A|c|2,What would you put furniture on top of?,roof,roof is a natural or man made,0.6798,No,Yes
0f03d65affa73a0c08a8caed11a2b69f|A|c|3,What would you put furniture on top of?,roof,roof can be found in a house,0.6713,Yes,Yes
0f03d65affa73a0c08a8caed11a2b69f|A|c|4,What would you put furniture on top of?,roof,roof is part of (a) building a house,0.6586,Yes,Yes
0f03d65affa73a0c08a8caed11a2b69f|B|c|0,What would you put furniture on top of?,room,room can be found at a home,0.6465,Yes,Yes
0f03d65affa73a0c08a8caed11a2b69f|B|c|1,What would you put furniture on top of?,room,room is a part of a house,0.6463,No,Yes
0f03d65affa73a0c08a8caed11a2b69f|B|c|2,What would you put furniture on top of?,room,room is part of (a) house,0.6385,No,Yes
0f03d65affa73a0c08a8caed11a2b69f|B|c|3,What would you put furniture on top of?,room,room is a place,0.6286,No,No
0f03d65affa73a0c08a8caed11a2b69f|B|c|4,What would you put furniture on top of?,room,room can be found inside a person's home,0.6283,Yes,Yes
0f03d65affa73a0c08a8caed11a2b69f|C|c|0,What would you put furniture on top of?,floor,floor can be used for furnishing a house,0.7216,Yes,Yes
0f03d65affa73a0c08a8caed11a2b69f|C|c|1,What would you put furniture on top of?,floor,floor can be used for sitting on,0.6992,Yes,Yes
0f03d65affa73a0c08a8caed11a2b69f|C|c|2,What would you put furniture on top of?,floor,floor can be used for building the structure of house,0.6738,Yes,Yes
0f03d65affa73a0c08a8caed11a2b69f|C|c|3,What would you put furniture on top of?,floor,floor can not furnishing for a home,0.6582,Yes,Yes
0f03d65affa73a0c08a8caed11a2b69f|C|c|4,What would you put furniture on top of?,floor,floor can be used for to keep items,0.6553,Yes,Yes
0f03d65affa73a0c08a8caed11a2b69f|D|c|0,What would you put furniture on top of?,apartment,apartment is a piece of furniture,0.6787,Yes,No
0f03d65affa73a0c08a8caed11a2b69f|D|c|1,What would you put furniture on top of?,apartment,apartment can be used for living inside of,0.6750,No,Yes
0f03d65affa73a0c08a8caed11a2b69f|D|c|2,What would you put furniture on top of?,apartment,apartment is furniture,0.6717,Yes,No
0f03d65affa73a0c08a8caed11a2b69f|D|c|3,What would you put furniture on top of?,apartment,apartment can be used for storage,0.6681,Yes,Yes
0f03d65affa73a0c08a8caed11a2b69f|D|c|4,What would you put furniture on top of?,apartment,apartment is where someone can live,0.6630,No,Yes
26aa456d3e43a460b0f5c42f297903a0|A|c|0,What could you put a table in if you want the table to be in your house?,library,library is a place you can work,0.6183,Yes,Yes
26aa456d3e43a460b0f5c42f297903a0|A|c|1,What could you put a table in if you want the table to be in your house?,library,library is a place you can go,0.5993,No,Yes
26aa456d3e43a460b0f5c42f297903a0|A|c|2,What could you put a table in if you want the table to be in your house?,library,library is a room or building,0.5898,No,Yes
26aa456d3e43a460b0f5c42f297903a0|A|c|3,What could you put a table in if you want the table to be in your house?,library,library is a room,0.5833,No,No
26aa456d3e43a460b0f5c42f297903a0|A|c|4,What could you put a table in if you want the table to be in your house?,library,library can be used for studying,0.5793,Yes,Yes
26aa456d3e43a460b0f5c42f297903a0|C|c|0,What could you put a table in if you want the table to be in your house?,corner,corner can be found in your home,0.6660,Yes,Yes
26aa456d3e43a460b0f5c42f297903a0|C|c|1,What could you put a table in if you want the table to be in your house?,corner,corner can be found in a home,0.5925,Yes,Yes
26aa456d3e43a460b0f5c42f297903a0|C|c|2,What could you put a table in if you want the table to be in your house?,corner,corner can be found inside someone's home,0.5858,Yes,Yes
26aa456d3e43a460b0f5c42f297903a0|C|c|3,What could you put a table in if you want the table to be in your house?,corner,corner can be found indoors,0.5323,Yes,Yes
26aa456d3e43a460b0f5c42f297903a0|C|c|4,What could you put a table in if you want the table to be in your house?,corner,corner is a room,0.5040,No,No
26aa456d3e43a460b0f5c42f297903a0|E|c|0,What could you put a table in if you want the table to be in your house?,rug,rug can be used for furniture,0.6249,Yes,Yes
26aa456d3e43a460b0f5c42f297903a0|E|c|1,What could you put a table in if you want the table to be in your house?,rug,rug is a part of a house,0.6065,Yes,Yes
26aa456d3e43a460b0f5c42f297903a0|E|c|2,What could you put a table in if you want the table to be in your house?,rug,rug is part of (a) house,0.6040,Yes,Yes
26aa456d3e43a460b0f5c42f297903a0|E|c|3,What could you put a table in if you want the table to be in your house?,rug,rug can be found inside a house,0.5825,Yes,Yes
26aa456d3e43a460b0f5c42f297903a0|E|c|4,What could you put a table in if you want the table to be in your house?,rug,rug can be found inside a person's home,0.5510,Yes,Yes
51172914847d7a61b2715826e9e38655_1|A|c|0,A government seeks what over it's people?,country,country is human made,0.7186,Yes,Yes
51172914847d7a61b2715826e9e38655_1|A|c|1,A government seeks what over it's people?,country,country is a organization,0.6724,No,No
51172914847d7a61b2715826e9e38655_1|A|c|2,A government seeks what over it's people?,country,country can make you do something,0.6357,No,Yes
51172914847d7a61b2715826e9e38655_1|A|c|3,A government seeks what over it's people?,country,country is a concept or place,0.6259,No,Yes
51172914847d7a61b2715826e9e38655_1|A|c|4,A government seeks what over it's people?,country,country is ruled by one government,0.5885,Yes,Yes
51172914847d7a61b2715826e9e38655_1|C|c|0,A government seeks what over it's people?,city,city is a part of a municipality,0.6920,No,Yes
51172914847d7a61b2715826e9e38655_1|C|c|1,A government seeks what over it's people?,city,city is a concept or place,0.6238,No,Yes
51172914847d7a61b2715826e9e38655_1|C|c|2,A government seeks what over it's people?,city,city can be used for expanding development,0.6090,Yes,Yes
51172914847d7a61b2715826e9e38655_1|C|c|3,A government seeks what over it's people?,city,city is human made,0.6025,No,Yes
51172914847d7a61b2715826e9e38655_1|C|c|4,A government seeks what over it's people?,city,city is a man-made thing,0.6001,No,Yes
51172914847d7a61b2715826e9e38655_1|D|c|0,A government seeks what over it's people?,sun,sun is a object/thing,0.6209,No,Yes
51172914847d7a61b2715826e9e38655_1|D|c|1,A government seeks what over it's people?,sun,sun is a place,0.6124,No,Yes
51172914847d7a61b2715826e9e38655_1|D|c|2,A government seeks what over it's people?,sun,sun is a concept or place,0.5958,No,Yes
51172914847d7a61b2715826e9e38655_1|D|c|3,A government seeks what over it's people?,sun,sun is not white,0.5640,No,Yes
51172914847d7a61b2715826e9e38655_1|D|c|4,A government seeks what over it's people?,sun,sun is a weather,0.5549,No,Yes
51172914847d7a61b2715826e9e38655_1|E|c|0,A government seeks what over it's people?,control,control is a concept or place,0.5411,No,Yes
0e51897901b555173f3c6836dbf7979a|B|c|0,"If I wanted to store dirt in my home, where could I put it?",garden,garden is found in a home,0.5086,Yes,Yes
0e51897901b555173f3c6836dbf7979a|B|c|1,"If I wanted to store dirt in my home, where could I put it?",garden,garden can be used for generating products or plants,0.5036,No,Yes
